stock_name,stock_type,stock_symbol,stock_country,,,,,,,,,,,,
하나32호스팩,KOSDAQ,475240,KR,,,,,,,,,,,,
엔젤로보틱스,KOSDAQ,455900,KR,,,,,,,,,,,,
제이투케이바이오,KOSDAQ,420570,KR,,,,,,,,,,,,
삼현,KOSDAQ,437730,KR,,,,,,,,,,,,
오상헬스케어,KOSDAQ,36220,KR,,,,,,,,,,,,
케이엔알시스템,KOSDAQ,199430,KR,,,,,,,,,,,,
비엔케이제2호스팩,KOSDAQ,473370,KR,,,,,,,,,,,,
하나31호스팩,KOSDAQ,469900,KR,,,,,,,,,,,,
SK증권제11호스팩,KOSDAQ,472230,KR,,,,,,,,,,,,
유안타제15호스팩,KOSDAQ,473050,KR,,,,,,,,,,,,
유진스팩10호,KOSDAQ,468760,KR,,,,,,,,,,,,
에이피알,KOSPI,278470,KR,,,,,,,,,,,,
E8,KOSDAQ,418620,KR,,,,,,,,,,,,
코셈,KOSDAQ,360350,KR,,,,,,,,,,,,
케이웨더,KOSDAQ,68100,KR,,,,,,,,,,,,
사피엔반도체,KOSDAQ,452430,KR,,,,,,,,,,,,
에스피소프트,KOSDAQ,443670,KR,,,,,,,,,,,,
스튜디오삼익,KOSDAQ,415380,KR,,,,,,,,,,,,
신영스팩10호,KOSDAQ,472220,KR,,,,,,,,,,,,
폰드그룹,KOSDAQ,472850,KR,,,,,,,,,,,,
IBKS제24호스팩,KOSDAQ,469480,KR,,,,,,,,,,,,
레이저옵텍,KOSDAQ,199550,KR,,,,,,,,,,,,
이닉스,KOSDAQ,452400,KR,,,,,,,,,,,,
엘앤에프,KOSPI,66970,KR,,,,,,,,,,,,
포스뱅크,KOSDAQ,105760,KR,,,,,,,,,,,,
현대힘스,KOSDAQ,460930,KR,,,,,,,,,,,,
HB인베스트먼트,KOSDAQ,440290,KR,,,,,,,,,,,,
드림인사이트,KOSDAQ,362990,KR,,,,,,,,,,,,
대신밸런스제17호스팩,KOSDAQ,471050,KR,,,,,,,,,,,,
우진엔텍,KOSDAQ,457550,KR,,,,,,,,,,,,
세븐브로이맥주,,267080,KR,,,,,,,,,,,,
한빛레이저,KOSDAQ,452190,KR,,,,,,,,,,,,
포스코DX,KOSPI,22100,KR,,,,,,,,,,,,
DS단석,KOSPI,17860,KR,,,,,,,,,,,,
IBKS제23호스팩,KOSDAQ,467930,KR,,,,,,,,,,,,
하나30호스팩,KOSDAQ,469880,KR,,,,,,,,,,,,
씨싸이트,KOSDAQ,109670,KR,,,,,,,,,,,,
블루엠텍,KOSDAQ,439580,KR,,,,,,,,,,,,
LS머트리얼즈,KOSDAQ,417200,KR,,,,,,,,,,,,
케이엔에스,KOSDAQ,432470,KR,,,,,,,,,,,,
교보15호스팩,KOSDAQ,465320,KR,,,,,,,,,,,,
와이바이오로직스,KOSDAQ,338840,KR,,,,,,,,,,,,
에이텀,KOSDAQ,355690,KR,,,,,,,,,,,,
엔에이치스팩30호,KOSDAQ,466910,KR,,,,,,,,,,,,
에이에스텍,KOSDAQ,453860,KR,,,,,,,,,,,,
그린리소스,KOSDAQ,402490,KR,,,,,,,,,,,,
제이엔비,KOSDAQ,452160,KR,,,,,,,,,,,,
한선엔지니어링,KOSDAQ,452280,KR,,,,,,,,,,,,
동인기연,KOSPI,111380,KR,,,,,,,,,,,,
에코아이,KOSDAQ,448280,KR,,,,,,,,,,,,
스톰테크,KOSDAQ,352090,KR,,,,,,,,,,,,
에코프로머티,KOSPI,450080,KR,,,,,,,,,,,,
캡스톤파트너스,KOSDAQ,452300,KR,,,,,,,,,,,,
프로젠,,296160,KR,,,,,,,,,,,,
에스와이스틸텍,KOSDAQ,365330,KR,,,,,,,,,,,,
에이직랜드,KOSDAQ,445090,KR,,,,,,,,,,,,
한국제13호스팩,KOSDAQ,464440,KR,,,,,,,,,,,,
메가터치,KOSDAQ,446540,KR,,,,,,,,,,,,
비아이매트릭스,KOSDAQ,413640,KR,,,,,,,,,,,,
컨텍,KOSDAQ,451760,KR,,,,,,,,,,,,
큐로셀,KOSDAQ,372320,KR,,,,,,,,,,,,
쏘닉스,KOSDAQ,88280,KR,,,,,,,,,,,,
KB제27호스팩,KOSDAQ,464680,KR,,,,,,,,,,,,
세니젠,KOSDAQ,188260,KR,,,,,,,,,,,,
신시웨이,KOSDAQ,290560,KR,,,,,,,,,,,,
유진테크놀로지,KOSDAQ,240600,KR,,,,,,,,,,,,
유투바이오,KOSDAQ,221800,KR,,,,,,,,,,,,
퀄리타스반도체,KOSDAQ,432720,KR,,,,,,,,,,,,
미쥬,,351020,KR,,,,,,,,,,,,
워트,KOSDAQ,396470,KR,,,,,,,,,,,,
에스엘에스바이오,KOSDAQ,246250,KR,,,,,,,,,,,,
신성에스티,KOSDAQ,416180,KR,,,,,,,,,,,,
퓨릿,KOSDAQ,445180,KR,,,,,,,,,,,,
바이오텐,,289170,KR,,,,,,,,,,,,
에이치엠씨제6호스팩,KOSDAQ,462020,KR,,,,,,,,,,,,
아이엠티,KOSDAQ,451220,KR,,,,,,,,,,,,
레뷰코퍼레이션,KOSDAQ,443250,KR,,,,,,,,,,,,
두산로보틱스,KOSPI,454910,KR,,,,,,,,,,,,
신한제11호스팩,KOSDAQ,452980,KR,,,,,,,,,,,,
한싹,KOSDAQ,430690,KR,,,,,,,,,,,,
KT밀리의서재,KOSDAQ,418470,KR,,,,,,,,,,,,
인스웨이브,KOSDAQ,450520,KR,,,,,,,,,,,,
우듬지팜,KOSDAQ,403490,KR,,,,,,,,,,,,
코어라인소프트,KOSDAQ,384470,KR,,,,,,,,,,,,
STX그린로지스,KOSPI,465770,KR,,,,,,,,,,,,
상상인제4호스팩,KOSDAQ,452670,KR,,,,,,,,,,,,
율촌,KOSDAQ,146060,KR,,,,,,,,,,,,
한화플러스제4호스팩,KOSDAQ,455310,KR,,,,,,,,,,,,
대신밸런스제16호스팩,KOSDAQ,457630,KR,,,,,,,,,,,,
유안타제11호스팩,KOSDAQ,444920,KR,,,,,,,,,,,,
크라우드웍스,KOSDAQ,355390,KR,,,,,,,,,,,,
한국제12호스팩,KOSDAQ,458610,KR,,,,,,,,,,,,
시큐레터,KOSDAQ,418250,KR,,,,,,,,,,,,
스마트레이더시스템,KOSDAQ,424960,KR,,,,,,,,,,,,
넥스틸,KOSPI,92790,KR,,,,,,,,,,,,
캔버스엔,KOSDAQ,210120,KR,,,,,,,,,,,,
SK증권제10호스팩,KOSDAQ,457940,KR,,,,,,,,,,,,
코츠테크놀로지,KOSDAQ,448710,KR,,,,,,,,,,,,
큐리옥스바이오시스템즈,KOSDAQ,445680,KR,,,,,,,,,,,,
NICE평가정보,KOSPI,30190,KR,,,,,,,,,,,,
파두,KOSDAQ,440110,KR,,,,,,,,,,,,
엠아이큐브솔루션,KOSDAQ,373170,KR,,,,,,,,,,,,
시지트로닉스,KOSDAQ,429270,KR,,,,,,,,,,,,
에피바이오텍,,446440,KR,,,,,,,,,,,,
조선내화,KOSPI,462520,KR,,,,,,,,,,,,
에이엘티,KOSDAQ,172670,KR,,,,,,,,,,,,
유안타제14호스팩,KOSDAQ,450940,KR,,,,,,,,,,,,
파로스아이바이오,KOSDAQ,388870,KR,,,,,,,,,,,,
버넥트,KOSDAQ,438700,KR,,,,,,,,,,,,
뷰티스킨,KOSDAQ,406820,KR,,,,,,,,,,,,
SK증권제9호스팩,KOSDAQ,455910,KR,,,,,,,,,,,,
와이랩,KOSDAQ,432430,KR,,,,,,,,,,,,
센서뷰,KOSDAQ,321370,KR,,,,,,,,,,,,
아이엠지티,,456570,KR,,,,,,,,,,,,
필에너지,KOSDAQ,378340,KR,,,,,,,,,,,,
교보14호스팩,KOSDAQ,456490,KR,,,,,,,,,,,,
이노시뮬레이션,KOSDAQ,274400,KR,,,,,,,,,,,,
알멕,KOSDAQ,354320,KR,,,,,,,,,,,,
오픈놀,KOSDAQ,440320,KR,,,,,,,,,,,,
아이티센피엔에스,KOSDAQ,232830,KR,,,,,,,,,,,,
하나29호스팩,KOSDAQ,454640,KR,,,,,,,,,,,,
KB제25호스팩,KOSDAQ,455250,KR,,,,,,,,,,,,
엔에이치스팩29호,KOSDAQ,451700,KR,,,,,,,,,,,,
하이제8호스팩,KOSDAQ,450050,KR,,,,,,,,,,,,
가이아코퍼레이션,,296520,KR,,,,,,,,,,,,
비에이치,KOSPI,90460,KR,,,,,,,,,,,,
동국씨엠,KOSPI,460850,KR,,,,,,,,,,,,
동국제강,KOSPI,460860,KR,,,,,,,,,,,,
프로티아,KOSDAQ,303360,KR,,,,,,,,,,,,
큐라티스,KOSDAQ,348080,KR,,,,,,,,,,,,
마녀공장,KOSDAQ,439090,KR,,,,,,,,,,,,
나라셀라,KOSDAQ,405920,KR,,,,,,,,,,,,
진영,KOSDAQ,285800,KR,,,,,,,,,,,,
이수스페셜티케미컬,KOSPI,457190,KR,,,,,,,,,,,,
OCI,KOSPI,456040,KR,,,,,,,,,,,,
기가비스,KOSDAQ,420770,KR,,,,,,,,,,,,
팸텍,KOSDAQ,271830,KR,,,,,,,,,,,,
모니터랩,KOSDAQ,434480,KR,,,,,,,,,,,,
시선AI,KOSDAQ,340810,KR,,,,,,,,,,,,
큐라켐,,456190,KR,,,,,,,,,,,,
지슨,KOSDAQ,446840,KR,,,,,,,,,,,,
트루엔,KOSDAQ,417790,KR,,,,,,,,,,,,
에스바이오메딕스,KOSDAQ,304360,KR,,,,,,,,,,,,
슈어소프트테크,KOSDAQ,298830,KR,,,,,,,,,,,,
토마토시스템,KOSDAQ,393210,KR,,,,,,,,,,,,
마이크로투나노,KOSDAQ,424980,KR,,,,,,,,,,,,
셀바이오휴먼텍,KOSDAQ,318160,KR,,,,,,,,,,,,
SK오션플랜트,KOSPI,100090,KR,,,,,,,,,,,,
삼성FN리츠,KOSPI,448730,KR,,,,,,,,,,,,
현대그린푸드,KOSPI,453340,KR,,,,,,,,,,,,
한화갤러리아,KOSPI,452260,KR,,,,,,,,,,,,
지아이이노베이션,KOSDAQ,358570,KR,,,,,,,,,,,,
LB인베스트먼트,KOSDAQ,309960,KR,,,,,,,,,,,,
한화리츠,KOSPI,451800,KR,,,,,,,,,,,,
유안타제12호스팩,KOSDAQ,446150,KR,,,,,,,,,,,,
엑스게이트,KOSDAQ,356680,KR,,,,,,,,,,,,
금양그린파워,KOSDAQ,282720,KR,,,,,,,,,,,,
라온텍,KOSDAQ,418420,KR,,,,,,,,,,,,
자람테크놀로지,KOSDAQ,389020,KR,,,,,,,,,,,,
나노팀,KOSDAQ,417010,KR,,,,,,,,,,,,
바이오인프라,KOSDAQ,199730,KR,,,,,,,,,,,,
이노진,KOSDAQ,344860,KR,,,,,,,,,,,,
화인써키트,KOSDAQ,127980,KR,,,,,,,,,,,,
제이오,KOSDAQ,418550,KR,,,,,,,,,,,,
샌즈랩,KOSDAQ,411080,KR,,,,,,,,,,,,
꿈비,KOSDAQ,407400,KR,,,,,,,,,,,,
스튜디오미르,KOSDAQ,408900,KR,,,,,,,,,,,,
삼기에너지솔루션즈,KOSDAQ,419050,KR,,,,,,,,,,,,
오브젠,KOSDAQ,417860,KR,,,,,,,,,,,,
미래반도체,KOSDAQ,254490,KR,,,,,,,,,,,,
태양3C,,52960,KR,,,,,,,,,,,,
티이엠씨,KOSDAQ,425040,KR,,,,,,,,,,,,
한주라이트메탈,KOSDAQ,198940,KR,,,,,,,,,,,,
옵티코어,KOSDAQ,380540,KR,,,,,,,,,,,,
아이오바이오,,447690,KR,,,,,,,,,,,,
타이드,,346010,KR,,,,,,,,,,,,
신스틸,KOSDAQ,162300,KR,,,,,,,,,,,,
